,number_of_rooms,floor,area,address,date,price,"latitude, longitude"
4338,1,6,40.0,Кучаи Навбаҳор 2,26.01.2022 17:18,390000,"(38.5858337, 68.793715)"
4339,2,4,56.0,Тоҷирон,26.01.2022 17:18,259900,"(nan, nan)"
4340,2,12,54.0,Шохмансур,26.01.2022 16:53,531100,"(38.5507163, 68.8305472)"
4341,1,17,62.0,Ориентир Олимпийский Комитет,26.01.2022 16:39,369330,"(nan, nan)"
4342,2,12,57.0,Сино,26.01.2022 16:39,299800,"(38.5615057, 68.739065)"
4343,6,11,270.0,Ориентир Парк Алишера Навои,26.01.2022 16:38,1670000,"(nan, nan)"
4344,6,18,231.0,Ориентир ДушанбеВодоКанал,26.01.2022 16:29,1593900,"(nan, nan)"
4345,3,4,78.0,Аэропорт,26.01.2022 16:19,795000,"(38.54557415, 68.82363701984585)"
4346,1,15,61.0,Ориентир Гостиница Душанбе,26.01.2022 16:15,381620,"(nan, nan)"
4347,3,9,126.0,Ориентир Гостиница Душанбе,26.01.2022 16:01,883890,"(nan, nan)"
4348,5,7,154.0,Ориентир Новый Точиксодиротбанк,26.01.2022 15:58,1152920,"(nan, nan)"
4349,3,1,53.0,Сино,26.01.2022 15:54,478000,"(38.5615057, 68.739065)"
4350,2,6,65.0,Караболо,26.01.2022 15:50,630000,"(nan, nan)"
4351,3,4,80.0,Ориентир Гостиница Душанбе,26.01.2022 15:50,644000,"(nan, nan)"
4352,3,14,116.0,Ориентир Олимпийский Комитет,26.01.2022 15:48,713690,"(nan, nan)"
4353,3,11,100.0,Сино,26.01.2022 15:43,912000,"(38.5615057, 68.739065)"
4354,4,17,163.0,Ориентир Раёсати Корхои Дохилии Шахр,26.01.2022 15:43,1124700,"(nan, nan)"
4355,2,1,45.0,И.Сомони,26.01.2022 15:40,300000,"(38.5871679, 68.7869964)"
4356,4,11,148.0,Шоҳмансур,26.01.2022 15:33,786235,"(38.5507163, 68.8305472)"
4357,1,13,60.0,И. Сомони,26.01.2022 15:25,542400,"(38.5871679, 68.7869964)"
4358,3,9,88.0,МЖК,26.01.2022 15:11,731987,"(nan, nan)"
4359,2,17,65.0,Шохмансур,26.01.2022 15:09,310000,"(38.5507163, 68.8305472)"
4360,3,15,97.0,НалоговойШохмансура,26.01.2022 15:08,669300,"(nan, nan)"
4361,1,14,53.0,Ориентир Олимпийский Комитет,26.01.2022 15:03,339490,"(nan, nan)"
4362,2,2,48.0,,26.01.2022 14:52,400000,"(nan, nan)"
4363,2,16,87.0,1-й проезд улицы Академиков Раджабовых,26.01.2022 14:46,600300,"(38.572482449999995, 68.72973673859121)"
4364,2,10,79.0,1-й проезд улицы Академиков Раджабовых,26.01.2022 14:45,536010,"(38.572482449999995, 68.72973673859121)"
4365,1,8,53.0,н.Сино,26.01.2022 14:14,350000,"(38.5615057, 68.739065)"
4366,1,9,41.0,Гипрозем,26.01.2022 14:13,186960,"(38.5112209, 68.73803768568288)"
4367,2,1,52.0,Гипрозем,26.01.2022 14:10,320000,"(38.5112209, 68.73803768568288)"
4368,4,10,112.0,Ориентир Новый Точиксодиротбанк,26.01.2022 14:08,766420,"(nan, nan)"
4369,4,2,70.0,102 мкр,26.01.2022 13:41,700000,"(38.5215622, 68.74921245)"
4370,1,6,32.0,Сино,26.01.2022 13:28,145000,"(38.5615057, 68.739065)"
4371,2,3,59.0,Шохмансур,26.01.2022 13:22,407000,"(38.5507163, 68.8305472)"
4372,3,0,100.0,33мкр,26.01.2022 12:46,590000,"(nan, nan)"
4373,5,4,100.0,Филармония,26.01.2022 12:39,750000,"(38.5635832, 68.7537962)"
4374,3,5,76.0,И Сомони,26.01.2022 12:28,755000,"(38.5871679, 68.7869964)"
4375,2,9,56.0,,26.01.2022 12:02,300000,"(nan, nan)"
4376,4,15,157.0,Перекрёсток Ослиные Уши,26.01.2022 11:57,1083300,"(nan, nan)"
4377,6,16,225.0,Ориентир напротив Детского Центра Мадагаскар,26.01.2022 11:54,1552500,"(nan, nan)"
4378,5,16,213.0,ДетскогоЦентраМадагаскар,26.01.2022 11:51,1469700,"(nan, nan)"
4379,5,3,120.0,Ориентир Гостиница Душанбе,26.01.2022 11:50,966000,"(nan, nan)"
4380,2,14,84.0,проспект Айни,26.01.2022 11:48,579600,"(38.5688829, 68.7908893)"
4381,2,3,50.0,Шоҳмансур,26.01.2022 11:42,495000,"(38.5507163, 68.8305472)"
4382,2,4,76.0,Ориентир Новый Точиксодиротбанк,26.01.2022 11:42,599570,"(nan, nan)"
4383,2,13,100.0,Ориентир Новый Точиксодиротбанк,26.01.2022 11:27,644000,"(nan, nan)"
4384,6,17,184.0,Ориентир Олимпийский Комитет,26.01.2022 11:26,1036840,"(nan, nan)"
4385,6,3,140.0,Ориентир Гостиница Душанбе,26.01.2022 11:25,1127000,"(nan, nan)"
4386,2,2,48.0,82 мкр,26.01.2022 11:24,490000,"(38.5234594, 68.74951586109968)"
4387,2,0,56.0,Гипрозем,26.01.2022 11:23,135000,"(38.5112209, 68.73803768568288)"
4388,1,8,51.0,1 Советский,26.01.2022 11:22,320000,"(38.5887216, 68.73026537888512)"
4389,1,5,61.0,Сино,26.01.2022 11:21,282000,"(38.5615057, 68.739065)"
4390,2,0,56.0,Гипрозем,26.01.2022 11:21,135000,"(38.5112209, 68.73803768568288)"
4391,2,2,49.0,Сино,26.01.2022 11:19,251370,"(38.5615057, 68.739065)"
4392,4,4,87.0,Сино,26.01.2022 11:17,730000,"(38.5615057, 68.739065)"
4393,2,0,56.0,,26.01.2022 11:16,135000,"(nan, nan)"
4394,5,17,233.0,Ориентир Раёсати Корхои Дохилии Шахр,26.01.2022 11:02,1607700,"(nan, nan)"
4395,3,2,65.0,Фирдавси,26.01.2022 10:58,635000,"(38.5305762, 68.7763022)"
4396,4,13,121.0,Ориентир Душанбинский Экономический Суд,26.01.2022 10:56,779240,"(nan, nan)"
4397,6,4,195.0,Ориентир Кафе Сорбон,26.01.2022 10:55,1569750,"(nan, nan)"
4398,2,3,93.0,И. Сомони,26.01.2022 10:47,699000,"(38.5871679, 68.7869964)"
4399,3,10,103.0,Фирдавси,26.01.2022 10:44,697000,"(38.5305762, 68.7763022)"
4400,6,7,143.0,проспект Айни,26.01.2022 10:35,1052480,"(38.5688829, 68.7908893)"
4401,1,4,32.0,Навбахор,26.01.2022 10:21,165000,"(38.4369746, 68.7768602)"
4402,5,4,110.0,Ориентир Точиксодиротбанк,26.01.2022 10:19,855500,"(nan, nan)"
4403,2,4,89.0,клиника Мансурова,26.01.2022 10:05,930000,"(38.5639064, 68.7881374)"
4404,4,11,130.0,Водонасосная,26.01.2022 10:04,1200000,"(nan, nan)"
4405,1,12,67.0,Ориентир Гостиница Душанбе,26.01.2022 09:59,449200,"(nan, nan)"
4406,2,10,82.0,Ориентир Новый Точиксодиротбанк,26.01.2022 09:41,567690,"(nan, nan)"
4407,2,9,66.0,Ориентир Гостиница Душанбе,26.01.2022 09:37,462990,"(nan, nan)"
4408,2,7,64.0,92 мкр,26.01.2022 09:35,620000,"(38.52225355, 68.74991793788521)"
4409,6,16,164.0,Ориентир Суди Иктисодии Душанбе,26.01.2022 09:20,1131600,"(nan, nan)"
4410,1,3,46.0,102 мкр,26.01.2022 09:01,430000,"(38.5215622, 68.74921245)"
4411,2,5,55.0,Сино,26.01.2022 09:00,200000,"(38.5615057, 68.739065)"
4412,4,5,85.0,Филармония дом Самсунг,26.01.2022 08:57,718000,"(38.5635832, 68.7537962)"
4413,3,2,54.0,Мясокомбинат,26.01.2022 08:55,400000,"(38.5456775, 68.7773484)"
4414,1,4,23.0,Шохмансур,26.01.2022 08:18,240000,"(38.5507163, 68.8305472)"
4415,3,4,60.0,Алфемо,26.01.2022 08:04,480000,"(38.5686582, 68.7850622)"
4416,3,3,54.0,61 мкр,26.01.2022 06:16,524400,"(38.5902908, 68.73696025314088)"
4417,2,12,63.0,92 мкр,26.01.2022 01:52,365000,"(38.52225355, 68.74991793788521)"
4418,2,12,75.0,,26.01.2022 00:51,650000,"(nan, nan)"
4419,3,6,50.0,,26.01.2022 00:33,965000,"(nan, nan)"
4420,1,8,50.0,Шохмансур,26.01.2022 00:27,480000,"(38.5507163, 68.8305472)"
4421,2,9,76.0,Испечак,26.01.2022 00:24,620000,"(38.585271649999996, 68.7282739598053)"
4422,3,5,84.0,Зарафшон,25.01.2022 23:49,630000,"(38.5853222, 68.71890381645422)"
4423,2,1,40.0,Фирдавси,25.01.2022 23:37,215000,"(38.5305762, 68.7763022)"
4424,1,2,72.0,,25.01.2022 23:37,200000,"(nan, nan)"
4425,4,3,65.0,Фирдавси,25.01.2022 23:36,740000,"(38.5305762, 68.7763022)"
4426,3,5,78.0,Сино 2,25.01.2022 23:18,580000,"(38.5615057, 68.739065)"
4427,2,14,50.0,,25.01.2022 22:42,400000,"(nan, nan)"
4428,1,7,67.0,Душанбе,25.01.2022 22:40,348080,"(38.5425835, 68.81521423589763)"
4429,5,5,174.0,Шохмансур,25.01.2022 22:37,1220000,"(38.5507163, 68.8305472)"
4430,3,3,57.0,Фирдавси,25.01.2022 21:52,250000,"(38.5305762, 68.7763022)"
4431,2,8,72.0,Аэропорт,25.01.2022 21:16,530000,"(38.54557415, 68.82363701984585)"
4432,2,18,56.0,Ватан,25.01.2022 21:14,678000,"(38.563966, 68.7969471)"
4433,2,14,51.0,Гранд отель,25.01.2022 21:09,377900,"(38.5736713, 68.7948765)"
