,number_of_rooms,floor,area,address,date,price,"latitude, longitude"
0,1,1,58.0,Сомони,Сегодня 21:56,330000,"(38.5858337, 68.793715)"
1,1,14,68.0,92 мкр,Сегодня 21:56,340000,"(38.52225355, 68.74991793788521)"
2,3,8,50.0,,Сегодня 21:55,700000,"(nan, nan)"
3,3,14,84.0,112 мкр,Сегодня 21:51,700000,"(38.5208346, 68.74790775)"
4,3,3,83.0,фабрика Ширин,Сегодня 21:48,415000,"(38.564374400000005, 68.73941921022708)"
5,3,4,53.0,32 мкр,Сегодня 21:42,513000,"(38.53068645, 68.74526127900722)"
6,2,12,67.0,И.Сомони,Сегодня 21:39,360000,"(38.5871679, 68.7869964)"
7,2,4,52.0,,Сегодня 21:32,397000,"(nan, nan)"
8,2,7,95.0,,Сегодня 21:14,499000,"(nan, nan)"
9,2,15,73.0,якум советский,Сегодня 21:14,450000,"(38.538394249999996, 68.754725015596)"
10,1,16,47.0,,Сегодня 21:07,395000,"(nan, nan)"
11,2,15,52.0,Зарафшон,Сегодня 21:06,370000,"(38.5853222, 68.71890381645422)"
12,1,4,50.0,Сино,Сегодня 21:05,490000,"(38.5615057, 68.739065)"
13,2,11,51.0,Зарафшон,Сегодня 21:05,430000,"(38.5853222, 68.71890381645422)"
14,2,9,48.0,Испечак,Сегодня 21:01,391000,"(38.585271649999996, 68.7282739598053)"
15,3,12,98.0,,Сегодня 20:58,1026000,"(nan, nan)"
16,2,3,55.0,,Сегодня 20:54,375000,"(nan, nan)"
17,1,7,65.0,Бозори Балх,Сегодня 20:52,229000,"(38.5408908, 68.72091576322063)"
18,3,15,50.0,,Сегодня 20:52,575000,"(nan, nan)"
19,4,17,122.0,,Сегодня 20:52,1290000,"(nan, nan)"
20,3,6,78.0,И. Сомони,Сегодня 20:45,710000,"(38.5871679, 68.7869964)"
21,1,7,67.0,Хитой бозор,Сегодня 20:40,275000,"(38.554049899999995, 68.78854784999999)"
22,3,11,106.0,н.Сино 82 мкр.,Сегодня 20:39,1112300,"(38.5615057, 68.739065)"
23,4,3,67.0,Филармония с/шерози 37/2,Сегодня 20:36,900000,"(38.5635832, 68.7537962)"
24,2,17,70.0,70 (квадрат),Сегодня 20:36,300000,"(38.52398815, 68.75070675)"
25,3,10,68.0,Яккачинор,Сегодня 20:19,473100,"(38.5644634, 68.7598051)"
26,3,3,90.0,Сино,Сегодня 19:59,433200,"(38.5615057, 68.739065)"
27,2,10,50.0,,Сегодня 19:52,330000,"(nan, nan)"
28,3,11,50.0,,Сегодня 19:48,910000,"(nan, nan)"
29,3,9,50.0,,Сегодня 19:47,1020000,"(nan, nan)"
30,2,11,73.0,И. Сомони,Сегодня 19:42,855000,"(38.5871679, 68.7869964)"
31,2,7,79.0,Филармония,Сегодня 19:36,490000,"(38.5635832, 68.7537962)"
32,1,12,64.0,Филармония,Сегодня 19:36,355000,"(38.5635832, 68.7537962)"
33,2,14,56.0,Сино 92мкр,Сегодня 19:35,421000,"(38.5615057, 68.739065)"
34,2,3,53.0,Фирдавси,Сегодня 19:31,300000,"(38.5305762, 68.7763022)"
35,3,2,60.0,,Сегодня 19:28,550000,"(nan, nan)"
36,1,3,45.0,Фирдавси,Сегодня 19:28,180000,"(38.5305762, 68.7763022)"
37,3,3,80.0,1 советский,Сегодня 19:25,680000,"(38.5887216, 68.73026537888512)"
38,3,2,80.0,82 мкр,Сегодня 19:25,780000,"(38.5234594, 68.74951586109968)"
39,2,4,52.0,7 км,Сегодня 19:24,193000,"(38.5885533, 68.7787884)"
40,1,13,42.0,Аеропорт,Сегодня 19:23,262000,"(38.54557415, 68.82363701984585)"
41,1,9,41.0,Зарафшон,Сегодня 19:21,117000,"(38.5853222, 68.71890381645422)"
42,2,4,36.0,Фирдавси,Сегодня 19:19,325000,"(38.5305762, 68.7763022)"
43,2,4,52.0,Шохмансур,Сегодня 19:19,547000,"(38.5507163, 68.8305472)"
44,6,4,95.0,101 мкр,Сегодня 19:17,990000,"(38.5425835, 68.81521423589763)"
45,2,17,52.0,Фирдавси,Сегодня 19:14,455000,"(38.5305762, 68.7763022)"
46,3,17,70.0,63 мкр,Сегодня 19:14,370000,"(38.58288255, 68.7482971)"
47,3,14,109.0,Кохи Борбад,Сегодня 19:12,570000,"(38.58227975, 68.76266008256485)"
48,1,4,60.0,Шохмансур,Сегодня 19:06,420000,"(38.5507163, 68.8305472)"
49,4,3,75.0,,Сегодня 19:01,639000,"(nan, nan)"
50,3,5,87.0,Политехникум,Сегодня 19:01,550000,"(38.53258295, 68.73744528032304)"
51,4,7,153.0,Опера,Сегодня 19:00,2093040,"(38.5686785, 68.79479377896965)"
52,2,7,95.0,Шохмансур,Сегодня 19:00,685000,"(38.5507163, 68.8305472)"
53,1,7,66.0,,Сегодня 18:57,413820,"(nan, nan)"
54,1,5,53.0,,Сегодня 18:54,332310,"(nan, nan)"
55,3,10,92.0,Зарафшон,Сегодня 18:53,570000,"(38.5853222, 68.71890381645422)"
56,2,8,80.0,92 мкр,Сегодня 18:53,592000,"(38.52225355, 68.74991793788521)"
57,3,7,70.0,92 мкр,Сегодня 18:50,57000,"(38.52225355, 68.74991793788521)"
58,2,2,60.0,91 мкр,Сегодня 18:41,500000,"(38.54670385, 68.74736905)"
59,2,7,55.0,63 мкр,Сегодня 18:38,435000,"(38.58288255, 68.7482971)"
60,1,7,54.0,Гипрозем,Сегодня 18:28,201999,"(38.5112209, 68.73803768568288)"
61,2,16,78.0,Hilton,Сегодня 18:23,371000,"(38.5623522, 68.81128815016059)"
62,2,5,60.0,Фирдавси,Сегодня 18:21,465000,"(38.5305762, 68.7763022)"
63,2,9,64.0,Зарафшон-2,Сегодня 18:16,200000,"(38.5832623, 68.7107404123386)"
64,3,3,75.0,Фирдавси,Сегодня 18:08,590000,"(38.5305762, 68.7763022)"
65,2,6,71.0,Н.Сино,Сегодня 18:08,270000,"(38.571596549999995, 68.76501266615352)"
66,2,1,60.0,91 мкр,Сегодня 18:06,521082,"(38.54670385, 68.74736905)"
67,2,4,37.0,цирк,Сегодня 18:01,380000,"(38.5575994, 68.76368975457416)"
68,1,12,64.0,Караболо,Сегодня 18:00,344000,"(nan, nan)"
69,2,3,49.0,Фирдавси,Сегодня 17:52,173000,"(38.5305762, 68.7763022)"
70,2,4,49.0,Фирдавси 1-ум куча,Сегодня 17:52,288000,"(38.5305762, 68.7763022)"
71,2,7,43.0,Мадад,Сегодня 17:49,345000,"(38.5655442, 68.7958866)"
72,1,6,46.0,Сино,Сегодня 17:49,280000,"(38.5615057, 68.739065)"
73,2,2,78.0,Сино,Сегодня 17:46,456000,"(38.5615057, 68.739065)"
74,2,4,49.0,Фирдавси Гипразем Сомони 1,Сегодня 17:40,280000,"(38.5305762, 68.7763022)"
75,2,5,41.0,Фирдавси,Сегодня 17:40,252000,"(38.5305762, 68.7763022)"
76,2,6,65.0,Караболо,Сегодня 17:37,625000,"(nan, nan)"
77,2,9,88.0,Шохмансур,Сегодня 17:37,812500,"(38.5507163, 68.8305472)"
78,1,2,51.0,Шохмансур,Сегодня 17:36,470000,"(38.5507163, 68.8305472)"
79,3,10,90.0,Опера,Сегодня 17:36,461700,"(38.5686785, 68.79479377896965)"
80,2,14,82.0,Филармония,Сегодня 17:35,448000,"(38.5635832, 68.7537962)"
81,1,14,62.0,Филармония,Сегодня 17:35,340000,"(38.5635832, 68.7537962)"
82,3,5,160.0,Спартак,Сегодня 17:35,1058000,"(38.58096865, 68.79602632635067)"
83,2,10,87.0,Шохмансур,Сегодня 17:33,406000,"(38.5507163, 68.8305472)"
84,1,11,57.0,Шохмансур,Сегодня 17:33,266000,"(38.5507163, 68.8305472)"
85,3,10,104.0,Исмоил Сомони,Сегодня 17:32,640000,"(38.5739136, 68.7854047)"
86,3,15,116.0,Айни 49,Сегодня 17:32,634700,"(38.5637406, 68.7921509)"
87,1,14,57.0,Айни,Сегодня 17:32,318400,"(38.533662, 68.6677214)"
88,1,12,74.0,Айни 63,Сегодня 17:31,430000,"(38.5637406, 68.7921509)"
89,1,10,47.0,Чал Чам,Сегодня 17:31,198200,"(38.546926150000004, 68.75433241238348)"
90,1,8,47.0,Рынок Джал-Джам,Сегодня 17:30,203000,"(38.56067835, 68.74870560029927)"
91,2,13,79.0,63 мкр,Сегодня 17:29,480000,"(38.58288255, 68.7482971)"
92,2,9,88.0,Шохмансур,Сегодня 17:29,371000,"(38.5507163, 68.8305472)"
93,1,7,61.0,,Сегодня 17:28,350000,"(nan, nan)"
94,2,7,62.0,,Сегодня 17:28,367000,"(nan, nan)"
95,1,11,50.0,Зелёный базар,Сегодня 17:27,212000,"(nan, nan)"
96,2,16,71.0,Фирдавси,Сегодня 17:26,524000,"(38.5305762, 68.7763022)"
97,1,8,54.0,Гипрозем,Сегодня 17:25,196000,"(38.5112209, 68.73803768568288)"
98,1,11,47.0,Вахдат,Сегодня 17:25,172000,"(38.58980425, 68.78555936331782)"
99,1,12,68.0,Бофанда,Сегодня 17:24,295000,"(38.5647176, 68.7909964)"
100,2,9,54.0,Зелёный Базар,Сегодня 17:24,233500,"(nan, nan)"
101,2,11,74.0,Хитой бозор,Сегодня 17:23,320000,"(38.554049899999995, 68.78854784999999)"
102,1,5,47.0,Яккачинор Цирк,Сегодня 17:19,237000,"(38.5644634, 68.7598051)"
103,1,5,58.0,Яккачинор Цирк,Сегодня 17:15,350000,"(38.5644634, 68.7598051)"
104,2,5,73.0,Якачинор Цирк,Сегодня 17:15,440000,"(38.5670588, 68.7580972)"
105,1,11,65.0,,Сегодня 17:14,310000,"(nan, nan)"
106,2,14,82.0,Сельхозинститут,Сегодня 17:14,610000,"(nan, nan)"
107,3,9,71.0,Шохмансур,Сегодня 17:07,500000,"(38.5507163, 68.8305472)"
108,3,3,76.0,Фирдавси,Сегодня 17:07,430000,"(38.5305762, 68.7763022)"
109,2,3,64.0,Дом Печать,Сегодня 17:07,583999,"(38.5707484, 68.7886955)"
110,1,14,59.0,Сельхозинститут,Сегодня 17:04,438000,"(nan, nan)"
111,1,3,33.0,Филармония Асадулло Гуломова 18/8,Сегодня 17:01,270000,"(38.5635832, 68.7537962)"
112,2,2,37.0,Фирдавси,Сегодня 16:54,300000,"(38.5305762, 68.7763022)"
113,2,2,55.0,Филармония,Сегодня 16:53,350000,"(38.5635832, 68.7537962)"
114,4,4,209.0,Ориентир театр Оперы и балета,Сегодня 16:44,2820000,"(nan, nan)"
115,4,7,86.0,46 мкр,Сегодня 16:44,500000,"(38.52874565, 68.7448214)"
116,2,13,88.0,46 мкр,Сегодня 16:28,465000,"(38.52874565, 68.7448214)"
117,2,12,72.0,Шозмансур,Сегодня 16:16,445000,"(nan, nan)"
118,1,3,40.0,Корвон,Сегодня 16:14,200000,"(38.50599805, 68.75511569013814)"
119,1,3,41.0,Фирдавси,Сегодня 16:13,245000,"(38.5305762, 68.7763022)"
120,2,12,72.0,Шохмансур,Сегодня 16:10,445000,"(38.5507163, 68.8305472)"
121,4,1,150.0,Фирдавси,Сегодня 16:03,790650,"(38.5305762, 68.7763022)"
122,3,3,70.0,,Сегодня 15:59,500000,"(nan, nan)"
123,2,6,65.0,Караболо,Сегодня 15:57,625000,"(nan, nan)"
124,1,6,44.0,,Сегодня 15:56,302100,"(nan, nan)"
125,2,14,62.0,Яккачинор,Сегодня 15:51,285000,"(38.5644634, 68.7598051)"
126,3,6,74.0,33 мкр,Сегодня 15:48,620000,"(38.58569185, 68.72512473468157)"
127,3,2,52.0,Рудаки,Сегодня 15:48,160000,"(38.5858337, 68.793715)"
128,3,9,93.0,И. Сомони,Сегодня 15:44,470000,"(38.5871679, 68.7869964)"
129,2,7,66.0,И. Сомони,Сегодня 15:44,410000,"(38.5871679, 68.7869964)"
130,2,5,67.0,И. Сомони,Сегодня 15:43,416000,"(38.5871679, 68.7869964)"
131,1,5,59.0,И. Сомони,Сегодня 15:43,366000,"(38.5871679, 68.7869964)"
132,2,10,66.0,И. Сомони,Сегодня 15:43,340000,"(38.5871679, 68.7869964)"
133,3,3,106.0,И. Сомони,Сегодня 15:43,658000,"(38.5871679, 68.7869964)"
134,2,2,110.0,Исмойли Сомони,Сегодня 15:40,1596000,"(nan, nan)"
135,2,10,67.0,И. Сомони,Сегодня 15:37,755000,"(38.5871679, 68.7869964)"
136,1,1,30.0,Мехкалон,Сегодня 15:30,285000,"(38.5905467, 68.7329119)"
137,2,10,64.0,Исмоили Сомони,Сегодня 15:26,457000,"(38.5834656, 68.7891768)"
138,1,3,42.0,Сино,Сегодня 15:17,300000,"(38.5615057, 68.739065)"
139,1,4,42.0,Цирк,Сегодня 15:16,285000,"(38.5575994, 68.76368975457416)"
140,3,5,75.0,9 км,Сегодня 15:15,460000,"(38.5885533, 68.7787884)"
141,2,13,52.0,Испечак 2,Сегодня 15:14,364160,"(38.5849938, 68.7245146)"
142,2,2,67.0,Зарнисор,Сегодня 15:09,499000,"(38.5077678, 68.7681578)"
143,2,12,95.0,И. Сомони,Сегодня 15:07,690000,"(38.5871679, 68.7869964)"
144,2,11,63.0,112мкр,Сегодня 15:06,445000,"(nan, nan)"
145,3,7,120.0,,Сегодня 15:02,1220000,"(nan, nan)"
146,3,1,68.0,103 мкр,Сегодня 15:00,535000,"(38.5425835, 68.81521423589763)"
147,2,2,55.0,Шохмансур,Сегодня 14:59,380000,"(38.5507163, 68.8305472)"
148,3,6,50.0,,Сегодня 14:58,450000,"(nan, nan)"
149,3,5,56.0,Шохмансур 9 км,Сегодня 14:57,380000,"(38.5507163, 68.8305472)"
150,1,13,40.0,Зарафшон,Сегодня 14:55,120000,"(38.5853222, 68.71890381645422)"
151,1,6,30.0,сино,Сегодня 14:52,170000,"(38.5615057, 68.739065)"
152,4,2,80.0,Автовокзал,Сегодня 14:50,720000,"(38.57144665, 68.75630004640139)"
153,3,4,68.0,82мкр,Сегодня 14:48,535000,"(nan, nan)"
154,2,1,38.0,Сино,Сегодня 14:46,250000,"(38.5615057, 68.739065)"
155,1,3,32.0,Сино,Сегодня 14:46,200000,"(38.5615057, 68.739065)"
156,2,14,60.0,Испечак2,Сегодня 14:46,430000,"(nan, nan)"
157,2,12,66.0,Караболо,Сегодня 14:45,500000,"(nan, nan)"
158,2,4,50.0,,Сегодня 14:45,729600,"(nan, nan)"
159,3,1,62.0,маяковский,Сегодня 14:43,400000,"(38.558446950000004, 68.74822573217185)"
160,2,12,72.0,Сино,Сегодня 14:40,490200,"(38.5615057, 68.739065)"
161,3,1,50.0,,Сегодня 14:38,450000,"(nan, nan)"
162,2,10,53.0,,Сегодня 14:33,260000,"(nan, nan)"
163,2,8,77.0,Бозори Мехргон,Сегодня 14:33,328000,"(38.5666857, 68.80115682489688)"
164,2,5,42.0,мавлоно 9 километр,Сегодня 14:33,123000,"(38.542712800000004, 68.86664877742379)"
165,2,10,80.0,Филармония,Сегодня 14:31,350000,"(38.5635832, 68.7537962)"
166,1,1,37.0,33 мкр,Сегодня 14:31,181600,"(38.58569185, 68.72512473468157)"
167,3,7,82.0,Шоҳмансур,Сегодня 14:31,595000,"(38.5507163, 68.8305472)"
168,3,9,50.0,,Сегодня 14:29,850000,"(nan, nan)"
169,2,14,68.0,,Сегодня 14:28,799000,"(nan, nan)"
170,2,3,39.0,Сино,Сегодня 14:26,461000,"(38.5615057, 68.739065)"
171,3,5,75.0,9 км,Сегодня 14:25,467400,"(38.5885533, 68.7787884)"
172,3,11,202.0,Шохмансур,Сегодня 14:24,1900000,"(38.5507163, 68.8305472)"
173,2,7,86.0,Зеленый Бозор,Сегодня 14:23,353000,"(nan, nan)"
174,3,8,96.0,Зеленый базар,Сегодня 14:22,404000,"(nan, nan)"
175,1,5,75.0,поёни корвон,Сегодня 14:22,200000,"(nan, nan)"
176,2,11,108.0,,Сегодня 14:20,925000,"(nan, nan)"
177,3,6,149.0,,Сегодня 14:17,1800000,"(nan, nan)"
178,2,2,77.0,Шохмансур,Сегодня 14:16,625000,"(38.5507163, 68.8305472)"
179,2,8,60.0,Фирдавси,Сегодня 14:05,315000,"(38.5305762, 68.7763022)"
180,3,14,78.0,Испечак 2,Сегодня 14:00,470000,"(38.5849938, 68.7245146)"
181,3,10,104.0,Ашан,Сегодня 13:54,652000,"(38.5737759, 68.8016005)"
182,3,10,183.0,,Сегодня 13:51,980000,"(nan, nan)"
183,1,4,61.0,Поворот аэропорта,Сегодня 13:50,399000,"(38.4881522, 68.7153354)"
184,2,5,70.0,Фирдавси,Сегодня 13:49,370000,"(38.5305762, 68.7763022)"
185,3,16,105.0,Поворот Аэропорта,Сегодня 13:48,515000,"(38.4881522, 68.7153354)"
186,1,4,55.0,Фирдавси,Сегодня 13:48,282150,"(38.5305762, 68.7763022)"
187,2,4,83.0,Cадбарг,Сегодня 13:48,1200000,"(nan, nan)"
188,2,12,74.0,Шохмансур,Сегодня 13:48,421000,"(38.5507163, 68.8305472)"
189,2,9,85.0,Аэропорт,Сегодня 13:47,629000,"(38.54557415, 68.82363701984585)"
190,2,16,78.0,поворот аэропорта,Сегодня 13:47,372000,"(38.4881522, 68.7153354)"
191,4,1,85.0,Сино,Сегодня 13:47,550000,"(38.5615057, 68.739065)"
192,2,9,88.0,Шохмансур,Сегодня 13:47,798000,"(38.5507163, 68.8305472)"
193,1,3,49.0,Поворот Аэропорта,Сегодня 13:47,379000,"(38.4881522, 68.7153354)"
194,3,10,104.0,Исмоили Сомони,Сегодня 13:47,639000,"(38.5834656, 68.7891768)"
195,2,14,80.0,,Сегодня 13:46,428640,"(nan, nan)"
196,2,16,72.0,,Сегодня 13:44,400000,"(nan, nan)"
197,2,7,48.0,Фирдавси,Сегодня 13:43,380000,"(38.5305762, 68.7763022)"
198,1,5,66.0,Яккачинор,Сегодня 13:41,430000,"(38.5644634, 68.7598051)"
199,4,4,85.0,,Сегодня 13:41,695000,"(nan, nan)"
200,2,12,45.0,Hilton,Сегодня 13:37,567000,"(38.5623522, 68.81128815016059)"
201,2,1,71.0,и Сомони,Сегодня 13:36,550000,"(38.5871679, 68.7869964)"
202,2,4,84.0,Голубой Экран,Сегодня 13:30,650000,"(38.5631138, 68.7919442)"
203,2,3,100.0,Яккачинор Цирк,Сегодня 13:30,649000,"(38.5644634, 68.7598051)"
204,2,14,71.0,,Сегодня 13:29,450000,"(nan, nan)"
205,2,13,71.0,Ватан,Сегодня 13:29,590000,"(38.563966, 68.7969471)"
206,2,4,63.0,Ватан,Сегодня 13:29,450000,"(38.563966, 68.7969471)"
207,2,15,68.0,Цирк,Сегодня 13:28,330000,"(38.5575994, 68.76368975457416)"
208,1,13,46.0,Сино,Сегодня 13:25,260000,"(38.5615057, 68.739065)"
209,3,4,65.0,,Сегодня 13:24,460000,"(nan, nan)"
210,1,11,42.0,Альфемо,Сегодня 13:24,450000,"(38.5686582, 68.7850622)"
211,2,2,44.0,,Сегодня 13:24,240000,"(nan, nan)"
212,1,1,38.0,Фирдавси,Сегодня 13:23,190000,"(38.5305762, 68.7763022)"
213,4,6,120.0,Фирдавси Театри Ҷавонон,Сегодня 13:19,700000,"(38.5305762, 68.7763022)"
214,3,4,78.0,Рудаки,Сегодня 13:19,305000,"(38.5858337, 68.793715)"
215,1,16,60.0,Шохмансур,Сегодня 13:19,358000,"(38.5507163, 68.8305472)"
216,2,0,65.0,сино,Сегодня 13:18,210000,"(38.5615057, 68.739065)"
217,2,9,50.0,,Сегодня 13:15,750000,"(nan, nan)"
218,3,13,88.0,Диагностика,Сегодня 13:05,630000,"(nan, nan)"
219,1,2,50.0,Н. Шохмансур,Сегодня 13:01,316000,"(38.55857825, 68.79582022080177)"
220,1,8,50.0,Н.Шохмансур,Сегодня 13:01,267000,"(38.55857825, 68.79582022080177)"
221,3,6,105.0,Шохмансур,Сегодня 13:01,560000,"(38.5507163, 68.8305472)"
222,1,6,63.0,Шохмансур,Сегодня 13:01,340000,"(38.5507163, 68.8305472)"
223,2,3,72.0,Н.Шохмансур,Сегодня 13:01,420000,"(38.55857825, 68.79582022080177)"
224,1,7,63.0,Шохмансур,Сегодня 13:01,340000,"(38.5507163, 68.8305472)"
225,3,11,106.0,Фирдавси,Сегодня 13:00,545000,"(38.5305762, 68.7763022)"
226,2,9,88.0,Шохмансур,Сегодня 13:00,475000,"(38.5507163, 68.8305472)"
227,1,9,130.0,Шохмансур,Сегодня 13:00,696000,"(38.5507163, 68.8305472)"
228,2,9,118.0,Шохмансур,Сегодня 13:00,637000,"(38.5507163, 68.8305472)"
229,2,6,88.0,н Фирдаси,Сегодня 12:59,449000,"(38.55857825, 68.79582022080177)"
230,1,7,48.0,Фирдаси,Сегодня 12:59,247000,"(nan, nan)"
231,2,14,85.0,Шохмансур,Сегодня 12:59,538000,"(38.5507163, 68.8305472)"
232,1,7,63.0,Сомони,Сегодня 12:59,376000,"(38.5858337, 68.793715)"
233,2,11,85.0,,Сегодня 12:59,455000,"(nan, nan)"
234,2,11,97.0,н.Сомони,Сегодня 12:58,520000,"(38.5858337, 68.793715)"
235,2,10,74.0,Сино,Сегодня 12:58,354000,"(38.5615057, 68.739065)"
236,2,10,75.0,н.Сино,Сегодня 12:58,359000,"(38.5615057, 68.739065)"
237,3,10,112.0,н.Сино,Сегодня 12:58,536000,"(38.5615057, 68.739065)"
238,3,14,112.0,Караболо,Сегодня 12:58,740000,"(nan, nan)"
239,3,3,75.0,65 мкр,Сегодня 12:57,600000,"(38.5823233, 68.74831405)"
240,3,10,128.0,Опера и балет,Сегодня 12:54,588000,"(38.5686785, 68.79479377896965)"
241,1,8,65.0,Молодёжный театр,Сегодня 12:52,295000,"(38.55014405, 68.76102166353772)"
242,3,8,98.0,Молодёжный,Сегодня 12:50,418000,"(38.55014405, 68.76102166353772)"
243,2,7,42.0,Н. Сино маҳаллаи Навбаҳор ( Тоҷирон),Сегодня 12:49,220000,"(38.55857825, 68.79582022080177)"
244,3,4,84.0,91 мкр,Сегодня 12:48,745000,"(38.54670385, 68.74736905)"
245,2,1,27.0,Фирдавси 61 мкр,Сегодня 12:36,360000,"(38.5305762, 68.7763022)"
246,2,15,73.0,Фирдавси,Сегодня 12:34,450000,"(38.5305762, 68.7763022)"
247,3,10,110.0,Аэропорт,Сегодня 12:33,530000,"(38.54557415, 68.82363701984585)"
248,2,3,59.0,,Сегодня 12:32,425000,"(nan, nan)"
249,3,10,105.0,Чал-чам,Сегодня 12:30,410000,"(38.546926150000004, 68.75433241238348)"
250,2,1,50.0,,Сегодня 12:28,250000,"(nan, nan)"
251,2,3,42.0,Сино,Сегодня 12:22,230000,"(38.5615057, 68.739065)"
252,5,3,90.0,82 мкр,Сегодня 12:17,700000,"(38.5234594, 68.74951586109968)"
253,3,2,80.0,Фабрика ширин,Сегодня 12:15,437000,"(38.564374400000005, 68.73941921022708)"
254,2,9,77.0,Шохмансур,Сегодня 12:11,392000,"(38.5507163, 68.8305472)"
255,2,8,68.0,,Сегодня 12:05,398000,"(nan, nan)"
256,3,13,97.0,Шохмансур,Сегодня 12:05,705000,"(38.5507163, 68.8305472)"
257,1,6,56.0,Шохмансур,Сегодня 12:03,450000,"(38.5507163, 68.8305472)"
258,1,4,42.0,Зарнисор,Сегодня 12:03,235000,"(38.5077678, 68.7681578)"
259,2,3,65.0,91 мкр,Сегодня 12:03,570000,"(38.54670385, 68.74736905)"
260,1,5,48.0,Фирдавси,Сегодня 12:02,235000,"(38.5305762, 68.7763022)"
261,3,7,130.0,Шохмансур,Сегодня 11:59,925000,"(38.5507163, 68.8305472)"
262,1,6,50.0,Султони Кабир,Сегодня 11:59,254000,"(38.5389415, 68.76361308837454)"
263,3,14,122.0,Шохмансур,Сегодня 11:58,700000,"(38.5507163, 68.8305472)"
264,3,4,65.0,Н.Сино,Сегодня 11:58,600000,"(38.571596549999995, 68.76501266615352)"
265,2,3,42.0,102 мкр,Сегодня 11:57,420000,"(38.5215622, 68.74921245)"
266,3,4,60.0,Филармония,Сегодня 11:56,365000,"(38.5635832, 68.7537962)"
267,1,12,59.0,Шохмансур,Сегодня 11:56,400000,"(38.5507163, 68.8305472)"
268,2,1,37.0,,Сегодня 11:55,150000,"(nan, nan)"
269,3,18,135.0,исмоили сомони,Сегодня 11:54,730000,"(38.5834656, 68.7891768)"
270,1,3,25.0,,Сегодня 11:52,250000,"(nan, nan)"
271,5,11,185.0,,Сегодня 11:52,1476000,"(nan, nan)"
272,1,8,50.0,Зарнисор,Сегодня 11:52,218000,"(38.5077678, 68.7681578)"
273,1,9,63.0,,Сегодня 11:52,266500,"(nan, nan)"
274,3,18,126.0,Ватан,Сегодня 11:52,1083000,"(38.563966, 68.7969471)"
275,1,7,42.0,,Сегодня 11:52,338000,"(nan, nan)"
276,2,1,50.0,,Сегодня 11:52,390,"(nan, nan)"
277,2,6,60.0,,Сегодня 11:52,500000,"(nan, nan)"
278,2,8,93.0,,Сегодня 11:50,435000,"(nan, nan)"
279,2,15,50.0,,Сегодня 11:46,590000,"(nan, nan)"
280,1,1,16.0,Маяковский,Сегодня 11:40,136000,"(38.558446950000004, 68.74822573217185)"
281,1,2,33.0,Гипрозем,Сегодня 11:39,210000,"(38.5112209, 68.73803768568288)"
282,2,4,40.0,Сино,Сегодня 11:38,370000,"(38.5615057, 68.739065)"
283,3,3,72.0,61 мкр,Сегодня 11:38,500000,"(38.5902908, 68.73696025314088)"
284,2,8,48.0,Сино,Сегодня 11:37,350000,"(38.5615057, 68.739065)"
285,2,3,50.0,,Сегодня 11:34,300000,"(nan, nan)"
286,2,8,76.0,,Сегодня 11:33,408000,"(nan, nan)"
287,1,13,58.0,Цирк (Яккачинор),Сегодня 11:33,299000,"(38.5575994, 68.76368975457416)"
288,2,12,75.0,Гипрозем,Сегодня 11:33,300000,"(38.5112209, 68.73803768568288)"
289,1,11,48.0,Гипрозем,Сегодня 11:33,195000,"(38.5112209, 68.73803768568288)"
290,2,7,83.0,Зеленый Бозор,Сегодня 11:33,350000,"(nan, nan)"
291,1,8,55.0,Зеленый Бозор,Сегодня 11:33,240000,"(nan, nan)"
292,4,4,134.0,Ипподром,Сегодня 11:32,1250000,"(38.5704518, 68.77644953851382)"
293,3,10,102.0,Хитой бозор,Сегодня 11:32,370000,"(38.554049899999995, 68.78854784999999)"
294,2,14,85.0,Бофанда,Сегодня 11:32,385000,"(38.5647176, 68.7909964)"
295,1,1,22.0,Фирдавси,Сегодня 11:31,80000,"(38.5305762, 68.7763022)"
296,4,6,157.0,Здание Пойтахт 80,Сегодня 11:31,1980000,"(38.5960365, 68.78432348227021)"
297,4,9,177.0,,Сегодня 11:30,1150150,"(nan, nan)"
298,3,7,90.0,Центр,Сегодня 11:30,889200,"(38.584950250000006, 68.76348722496377)"
299,2,16,75.0,Шохмансур,Сегодня 11:30,370000,"(38.5507163, 68.8305472)"
300,3,8,84.0,112мкр,Сегодня 11:29,484000,"(nan, nan)"
301,2,15,85.0,ул. Айни,Сегодня 11:25,391000,"(38.562548050000004, 68.81436528669661)"
302,1,4,35.0,91 мкр,Сегодня 11:25,342000,"(38.54670385, 68.74736905)"
303,3,15,132.0,Шохмансур,Сегодня 11:25,632000,"(38.5507163, 68.8305472)"
304,3,6,90.0,,Сегодня 11:25,775200,"(nan, nan)"
305,4,11,140.0,И.Сомонӣ,Сегодня 11:25,845880,"(38.5871679, 68.7869964)"
306,2,8,65.0,Поворот Аэропорта,Сегодня 11:24,400000,"(38.4881522, 68.7153354)"
307,3,2,114.0,Посольство Казахстан,Сегодня 11:23,988000,"(38.5911176, 68.7546006)"
308,3,1,103.0,,Сегодня 11:23,967300,"(nan, nan)"
309,4,3,58.0,И.Сомони,Сегодня 11:22,605000,"(38.5871679, 68.7869964)"
310,1,3,35.0,61 мкр,Сегодня 11:22,289000,"(38.5902908, 68.73696025314088)"
311,1,2,75.0,,Сегодня 11:19,649000,"(nan, nan)"
